COMUNE,POPOLAZIONE 1/1/2019,SUPERFICIE 1/1/2019,COD_CAT,INDICE D (QUINTILI),INDICE P (QUINTILI),INDICE T (QUINTILI),INDICE DI SINTESI (QUINTILI)
Agliè,"2,635",13.15,B,D2,P3,T1,S1
Airasca,"3,681",15.74,P,D1,P3,T1,S1
Ala di Stura,453,46.33,E,D5,P2,T4,S3
Albiano d'Ivrea,"1,646",11.73,P,D3,P3,T1,S2
Almese,"6,378",17.88,P,D1,P2,T2,S1
Alpette,242,5.63,E,D4,P2,T5,S4
Alpignano,"16,379",11.92,P,D2,P2,T1,S1
Andezeno,"2,013",7.49,P,D1,P1,T1,S1
Andrate,499,9.31,Q,,,,
Angrogna,863,38.88,E,D4,P1,T5,S4
Arignano,"1,075",8.17,P,D1,P1,T1,S1
Avigliana,"12,563",23.22,B,D4,P5,T2,S4
Azeglio,"1,258",9.96,P,D1,P3,T1,S1
Bairo,800,7.09,P,D2,P4,T2,S3
Balangero,"3,163",13.01,P,D1,P4,T4,S3
Baldissero Canavese,542,4.51,P,D2,P4,T1,S2
Baldissero Torinese,"3,680",15.41,P,D2,P3,T5,S4
Balme,111,62.71,E,D5,P2,T5,S5
Banchette,"3,239",2.03,P,D4,P5,T4,S4
Barbania,"1,604",12.80,Q,,,,
Bardonecchia,"3,149",132.20,E,D5,P5,T5,S5
Barone Canavese,589,3.99,Q,,,,
Beinasco,"17,936",6.73,P,D3,P5,T1,S3
Bibiana,"3,463",18.60,P,D2,P2,T1,S1
Bobbio Pellice,545,94.08,E,D5,P5,T5,S5
Bollengo,"2,167",14.22,P,D2,P2,T1,S1
Borgaro Torinese,"11,912",11.10,P,D4,P5,T1,S4
Borgiallo,588,6.96,Q,,,,
Borgofranco d'Ivrea,"3,672",13.42,P,D2,P2,T4,S3
Borgomasino,788,12.37,Q,,,,
Borgone Susa,"2,209",4.96,Q,,,,
Bosconero,"3,133",10.92,Q,,,,
Brandizzo,"8,738",6.29,P,D1,P1,T1,S1
Bricherasio,"4,616",22.76,P,D2,P3,T1,S2
Brosso,394,11.14,Q,,,,
Brozolo,436,8.95,Q,,,,
Bruino,"8,696",5.57,Q,,,,
Brusasco,"1,528",14.36,P,D3,P3,T2,S2
Bruzolo,"1,526",12.56,P,D2,P4,T1,S2
Buriasco,"1,351",14.69,P,D3,P4,T1,S2
Burolo,"1,144",5.48,Q,,,,
Busano,"1,636",5.06,Q,,,,
Bussoleno,"5,941",37.07,P,D2,P1,T4,S3
Buttigliera Alta,"6,407",8.10,Q,,,,
Cafasse,"3,416",10.23,Q,,,,
Caluso,"7,544",39.49,P,D2,P1,T2,S1
Cambiano,"5,980",14.13,P,D3,P5,T1,S3
Campiglione Fenile,"1,341",11.09,P,D2,P3,T1,S1
Candia Canavese,"1,232",9.13,P,D4,P2,T4,S4
Candiolo,"5,635",11.85,P,D3,P4,T1,S3
Canischio,277,11.95,Q,,,,
Cantalupa,"2,620",11.20,P,D4,P5,T5,S5
Cantoira,576,23.03,E,D5,P1,T4,S3
Caprie,"2,085",16.41,P,D2,P3,T1,S2
Caravino,902,11.54,B,D2,P1,T1,S1
Carema,771,10.26,P,D3,P1,T4,S2
Carignano,"9,274",50.68,P,D1,P4,T1,S3
Carmagnola,"28,969",95.71,P,D2,P4,T1,S2
Casalborgone,"1,887",20.13,P,D3,P3,T5,S5
Cascinette d'Ivrea,"1,511",2.17,P,D2,P2,T1,S1
Caselette,"3,030",14.31,P,D4,P1,T1,S1
Caselle Torinese,"13,958",23.55,P,D3,P4,T1,S3
Castagneto Po,"1,782",11.47,Q,,,,
Castagnole Piemonte,"2,244",17.28,P,D1,P1,T1,S1
Castellamonte,"9,946",38.71,P,D2,P2,T1,S1
Castelnuovo Nigra,430,28.38,Q,,,,
Castiglione Torinese,"6,501",14.13,P,D1,P4,T2,S3
Cavagnolo,"2,059",12.33,P,D1,P2,T2,S1
Cavour,"5,492",48.96,P,D2,P3,T4,S3
Cercenasco,"1,809",13.16,P,D1,P2,T4,S2
Ceres,"1,045",28.05,E,D2,P1,T4,S1
Ceresole Reale,167,99.81,H,D5,P5,T5,S5
Cesana Torinese,943,121.70,E,D5,P5,T5,S5
Chialamberto,368,35.45,Q,,,,
Chianocco,"1,612",18.61,P,D5,P1,T4,S3
Chiaverano,"2,058",12.02,P,D3,P2,T5,S4
Chieri,"36,958",54.20,P,D1,P3,T2,S2
Chiesanuova,233,4.12,Q,,,,
Chiomonte,887,26.75,E,D3,P3,T4,S3
Chiusa di San Michele,"1,622",5.92,P,D2,P1,T2,S1
Chivasso,"26,909",51.24,P,D2,P4,T2,S3
Ciconio,388,3.16,Q,,,,
Cintano,252,4.93,Q,,,,
Cinzano,330,6.20,P,D3,P2,T5,S5
Ciriè,"18,576",17.73,P,D3,P5,T2,S4
Claviere,210,2.69,E,D5,P5,T5,S5
Coassolo Torinese,"1,497",27.88,P,D2,P1,T5,S5
Coazze,"3,236",56.57,P,D4,P1,T4,S2
Collegno,"49,686",18.10,P,D4,P5,T2,S4
Colleretto Castelnuovo,316,6.33,P,D3,P1,T5,S4
Colleretto Giacosa,573,4.59,P,D4,P3,T2,S2
Condove,"4,596",71.11,P,D1,P1,T4,S2
Corio,"3,209",41.49,P,D2,P1,T1,S1
Cossano Canavese,486,3.24,Q,,,,
Cuceglio,989,6.87,P,D3,P4,T4,S3
Cumiana,"7,895",60.73,P,D3,P1,T5,S5
Cuorgnè,"9,677",19.31,P,D1,P3,T2,S2
Druento,"8,863",27.54,P,D2,P3,T1,S2
Exilles,251,46.55,E,D5,P2,T5,S5
Favria,"5,247",14.85,Q,,,,
Feletto,"2,265",7.89,P,D1,P2,T1,S1
Fenestrelle,510,49.41,H,D5,P5,T5,S5
Fiano,"2,667",12.04,P,D3,P3,T4,S4
Fiorano Canavese,769,4.35,Q,,,,
Foglizzo,"2,319",15.64,P,D1,P1,T4,S1
Forno Canavese,"3,336",16.50,P,D1,P1,T1,S1
Frassinetto,280,24.82,P,D3,P1,T2,S1
Front,"1,641",10.95,P,D1,P5,T4,S5
Frossasco,"2,866",20.15,Q,,,,
Garzigliana,552,7.40,Q,,,,
Gassino Torinese,"9,559",20.51,P,D1,P2,T4,S2
Germagnano,"1,166",14.44,P,D2,P3,T4,S3
Giaglione,609,33.38,E,D4,P1,T5,S4
Giaveno,"16,386",71.74,P,D1,P4,T4,S4
Givoletto,"3,939",12.82,Q,,,,
Gravere,676,18.99,P,D2,P2,T5,S4
Groscavallo,199,92.09,E,D5,P5,T5,S5
Grosso,"1,025",4.33,Q,,,,
Grugliasco,"37,592",13.13,P,D3,P5,T2,S5
Ingria,44,14.75,Q,,,,
Inverso Pinasca,702,8.03,P,D3,P1,T2,S1
Isolabella,383,4.77,Q,,,,
Issiglio,387,5.50,Q,,,,
Ivrea,"23,442",30.11,B,D3,P4,T2,S3
La Cassa,"1,803",12.04,P,D4,P2,T2,S2
La Loggia,"8,846",12.79,P,D1,P3,T1,S1
Lanzo Torinese,"5,015",10.29,P,D4,P5,T2,S5
Lauriano,"1,436",14.29,Q,,,,
Leini,"16,456",31.92,P,D3,P4,T1,S2
Lemie,207,45.68,P,D3,P1,T5,S1
Lessolo,"1,820",7.94,P,D1,P2,T1,S1
Levone,442,5.39,Q,,,,
Locana,"1,438",132.52,P,D4,P1,T2,S1
Lombardore,"1,735",12.72,Q,,,,
Lombriasco,"1,045",7.21,Q,,,,
Loranzè,"1,166",4.19,P,D1,P2,T1,S1
Luserna San Giovanni,"7,248",17.74,P,D3,P1,T1,S1
Lusernetta,496,7.04,Q,,,,
Lusigliè,569,5.26,Q,,,,
Macello,"1,169",14.14,Q,,,,
Maglione,417,6.31,P,D2,P1,T4,S2
Marentino,"1,306",11.26,P,D1,P2,T2,S1
Massello,54,38.26,E,D5,P5,T5,S5
Mathi,"3,846",7.07,Q,,,,
Mattie,669,28.69,E,D3,P1,T5,S5
Mazzè,"4,142",27.34,P,D1,P3,T2,S2
Meana di Susa,788,16.54,P,D1,P1,T2,S1
Mercenasco,"1,231",12.64,Q,,,,
Mezzenile,797,29.09,P,D4,P1,T4,S3
Mombello di Torino,390,4.08,Q,,,,
Mompantero,649,30.33,Q,,,,
Monastero di Lanzo,346,17.66,P,D3,P1,T5,S3
Moncalieri,"57,527",47.53,B,D4,P4,T4,S4
Moncenisio,35,4.50,E,D5,P3,T5,S5
Montaldo Torinese,720,4.66,P,D5,P1,T1,S1
Montalenghe,996,6.47,Q,,,,
Montalto Dora,"3,401",7.36,P,D1,P1,T2,S1
Montanaro,"5,180",20.90,P,D1,P2,T2,S2
Monteu da Po,854,7.39,Q,,,,
Moriondo Torinese,843,6.49,P,D1,P1,T1,S1
Nichelino,"47,494",20.56,P,D3,P4,T1,S3
Noasca,116,78.05,E,D5,P2,T5,S5
Nole,"6,817",11.35,Q,,,,
Nomaglio,286,3.07,P,D3,P1,T5,S2
None,"8,022",24.64,P,D2,P4,T1,S2
Novalesa,538,28.55,E,D3,P1,T5,S4
Oglianico,"1,489",6.30,Q,,,,
Orbassano,"23,352",22.21,P,D2,P5,T1,S3
Orio Canavese,774,7.15,Q,,,,
Osasco,"1,153",5.49,P,D1,P1,T1,S1
Osasio,917,4.58,Q,,,,
Oulx,"3,371",99.79,E,D5,P3,T4,S5
Ozegna,"1,227",5.41,Q,,,,
Palazzo Canavese,837,5.08,P,D2,P2,T1,S1
Pancalieri,"2,091",15.89,Q,,,,
Parella,430,2.69,P,D5,P4,T2,S4
Pavarolo,"1,135",4.41,Q,,,,
Pavone Canavese,"3,848",11.54,P,D3,P4,T4,S4
Pecetto Torinese,"4,045",9.17,P,D2,P4,T5,S4
