CODICE PDV,IDX PRECIPITAZIONI LUGLIO,IDX TEMP MAX LUGLIO,N_HOTELS,N_CAMPING,N_BEDANDBREAKFAST,Total_Accomodations,LATITUDE,LONGITUDE,REGIONE,001-Popolazione residente - totale+ColumnValues,002-Popolazione residente - maschi+ColumnValues,003-Popolazione residente - femmine+ColumnValues,004-Popolazione residente - celibi/nubili+ColumnValues,005-Popolazione residente - coniugati/e (+ separati/e di fatto)+ColumnValues,008-Popolazione residente - divorziati/e+ColumnValues,014-Popolazione residente - eta < 5 anni+ColumnValues,015-Popolazione residente - eta 5 - 9 anni+ColumnValues,016-Popolazione residente - eta 10 - 14 anni+ColumnValues,017-Popolazione residente - eta 15 - 19 anni+ColumnValues,018-Popolazione residente - eta 20 - 24 anni+ColumnValues,019-Popolazione residente - eta 25 - 29 anni+ColumnValues,020-Popolazione residente - eta 30 - 34 anni+ColumnValues,021-Popolazione residente - eta 35 - 39 anni+ColumnValues,022-Popolazione residente - eta 40 - 44 anni+ColumnValues,023-Popolazione residente - eta 45 - 49 anni+ColumnValues,024-Popolazione residente - eta 50 - 54 anni+ColumnValues,025-Popolazione residente - eta 55 - 59 anni+ColumnValues,026-Popolazione residente - eta 60 - 64 anni+ColumnValues,027-Popolazione residente - eta 65 - 69 anni+ColumnValues,028-Popolazione residente - eta 70 - 74 anni+ColumnValues,029-Popolazione residente - eta > 74 anni+ColumnValues,047-Popolazione residente con laurea vecchio e nuovo ordinamento + diplomi universitari + diplomi terziari di tipo non universitario vecchio e nuovo ordinamento+ColumnValues,048-Popolazione residente con diploma di scuola secondaria superiore (maturita + qualifica)+ColumnValues,049-Popolazione residente con media inferiore+ColumnValues,050-Popolazione residente con licenza elementare+ColumnValues,061-Popolazione residente - totale di 15 anni e più occupata (FL)+ColumnValues,062-Popolazione residente - totale di 15 anni e più disoccupata in cerca nuova occupazione+ColumnValues,069-Popolazione residente - totale di 15 anni e più studenti+ColumnValues,101-Famiglie residenti - totale+ColumnValues,102-Famiglie residenti - totale componenti+ColumnValues,INCOME,Provincia,DISTANZA DAL MARE,Value Sales (June+Jul+Aug)
50928,39,246,205,14,3,222,"44,4040434","8,6773076",LIGURIA,237741,111866,125875,87827,108662,8491,8790,8993,9081,9253,9553,9725,11901,16282,18722,19286,16949,15433,16762,15347,16724,34940,24614,73448,67698,46789,92140,6008,12086,115512,236464,"22447,48668",Genova,"0,9973264638","8110,053471"
106797,39,246,195,10,3,208,"44,405538","8,678307",LIGURIA,184274,86652,97622,67800,84670,6514,6668,6882,7010,7190,7352,7424,8893,12398,14381,14848,13074,12101,13276,12118,13252,27407,19667,57654,51829,36122,70887,4538,9517,89177,183144,"22687,91364",Genova,"0,839883375","7313,202333"
21028,39,246,186,8,3,197,"44,408278","8,683755",LIGURIA,149890,70392,79498,54894,68962,5286,5322,5593,5662,5794,5950,5958,7149,9947,11574,11970,10705,9892,10981,9912,10914,22567,16260,47050,41995,29250,57404,3651,7686,72704,148866,"22851,80165",Genova,"0,6737458119","6916,525084"
114218,38,238,230,14,3,247,"44,3997824","8,6649888",LIGURIA,342006,161215,180791,128251,154524,12384,12866,13134,13116,13651,14058,14550,17541,23607,26759,27860,24477,22206,23825,21608,23425,49323,35347,104862,97634,66511,133264,9059,17551,166090,339727,"21709,29064",Genova,"0,9492361059","8071,015278"
30331,39,246,197,10,3,210,"44,403391","8,684478",LIGURIA,193816,91165,102651,71287,89148,6817,7024,7265,7437,7586,7679,7791,9397,13099,15167,15662,13770,12721,13918,12704,13887,28709,20489,60478,54618,38157,74661,4758,9989,93736,192681,"22657,00105",Genova,"0,2974941769","7324,050116"
22968,41,245,42,2,2,46,"44,38353","9,16586",LIGURIA,85460,40341,45119,32470,38228,3389,3111,3297,3311,3416,3501,3511,4204,5718,6605,7107,6274,5893,6203,5515,5713,12081,10710,28542,22204,15098,33962,2076,4673,41488,84774,"22450,01299",Genova,"3,501186826","5654,976263"
69660,41,245,22,2,2,26,"44,3912799","9,16565",LIGURIA,67890,32147,35743,25910,30423,2656,2525,2660,2654,2734,2812,2790,3389,4582,5309,5678,5034,4629,4890,4323,4450,9431,8190,22665,17864,12021,27137,1654,3693,32687,67305,"22154,12815",Genova,"4,20206045","5640,958791"
27455,41,245,3,1,0,4,"44,445361","9,090496",LIGURIA,10780,5394,5386,4116,4737,431,418,414,447,384,384,455,561,835,917,905,787,688,756,719,698,1412,557,2923,3585,2529,4238,229,428,5513,10729,"16926,1756",Genova,"7,884591675","5367,308167"
60185,41,245,34,1,1,36,"44,3789311","9,0719562",LIGURIA,120703,55965,64738,44892,54482,4773,4427,4710,4799,4697,4526,4616,5429,7903,9196,10076,8576,7937,8476,8040,8760,18535,22292,41227,27508,17852,48260,2552,7194,59489,119711,"25958,26762",Genova,"0,3140721583","5518,718557"
106798,41,245,32,1,1,34,"44,38122","9,06828",LIGURIA,121320,56198,65122,45160,54714,4801,4444,4731,4830,4716,4561,4642,5474,7939,9239,10102,8616,7962,8502,8070,8794,18698,22537,41514,27571,17841,48493,2566,7265,59770,120251,"25964,18051",Genova,"0,4977048803","5515,045902"
