,precip_luglio,temp_max_luglio,n_hotels,n_camping,n_b&b,total_accomodations,latitude,longitude,regione,tot_pop,maschi,femmine,celibi/nubili,coniugati,divorziati,eta_minore_5,eta_5/9,eta_10/14,eta_15/19,eta_20/24,eta_25/29,eta_30/34,eta_35/39,eta_40/44,eta_45/49,eta_50/54,eta_55/59,eta_60/64,eta_65/69,eta_70/74,eta_maggiore_74,con_laurea,con_diploma,con_media,con_elementare,occupati,disoccupati,studenti,tot_famiglie,componenti_famiglie,income,provincia,distanza_mare,single,vendite,comune,POPOLAZIONE 1/1/2019,SUPERFICIE 1/1/2019,COD_CAT,INDICE D (QUINTILI),INDICE P (QUINTILI),INDICE T (QUINTILI),INDICE DI SINTESI (QUINTILI)
0,39,246,205,14,3,222,44.4040434,8.6773076,LIGURIA,237741,0.47053726534337786,0.5294627346566221,0.36942302758043416,0.4570604144846703,0.035715337278803404,0.03697300844195995,0.037826878830323755,0.03819702954055043,0.038920505928720754,0.04018238334994805,0.040905859738118375,0.05005867730008707,0.06848629390807644,0.07874956360072516,0.08112189315263249,0.0712918680412718,0.06491518080600317,0.07050529778204012,0.064553442611918,0.07034545997535133,0.1469666569922731,0.10353283615362938,0.3089412427810096,0.284755258874153,0.19680660887268078,0.387564618639612,0.0252711984891121,0.050836835043177236,115512,2.047094674146409,22447.48668,Genova,0.9973264638,0.005371391556357549,8110.053471,Arenzano,"11,416",24.30,C,D4,P5,T4,S5
1,39,246,195,10,3,208,44.405538,8.678307,LIGURIA,184274,0.47023454204065684,0.5297654579593432,0.36793036456580963,0.45947881958388054,0.035349533846337516,0.03618524588384688,0.03734656001389235,0.038041177811302736,0.03901798408891108,0.03989710973875859,0.040287832249801925,0.048259656815394465,0.06728024572104584,0.07804139487936443,0.08057566449960385,0.0709486959636194,0.06566851536299206,0.07204488967515764,0.06576076928921064,0.0719146488381432,0.14872960916895492,0.10672693923179613,0.3128710507179526,0.28126051423423815,0.1960233131098256,0.3846825922267927,0.024626371598814808,0.05164591857777006,89177,2.0537134014375904,22687.91364,Genova,0.839883375,0.006132172742763494,7313.202333,Arenzano,"11,416",24.30,C,D4,P5,T4,S5
2,39,246,186,8,3,197,44.408278,8.683755,LIGURIA,149890,0.46962439122022814,0.5303756087797719,0.36622856761625194,0.4600840616452065,0.03526586163186337,0.035506037761024754,0.03731403028887851,0.03777436786977117,0.03865501367669624,0.039695776903062245,0.03974914937620922,0.04769497631596504,0.06636199879911936,0.07721662552538529,0.07985856294616052,0.07141904062979518,0.0659950630462339,0.0732603909533658,0.06612849422910135,0.0728133964907599,0.15055707518847156,0.10847955167122557,0.31389685769564346,0.280172126225899,0.19514310494362533,0.38297418106611514,0.024357862432450465,0.0512776035759557,72704,2.0475627200704225,22851.80165,Genova,0.6737458119,0.00683167656281273,6916.525084,Arenzano,"11,416",24.30,C,D4,P5,T4,S5
3,38,238,230,14,3,247,44.3997824,8.6649888,LIGURIA,342006,0.4713806190534669,0.5286193809465332,0.37499634509336094,0.4518166347958808,0.036209891054542906,0.037619223054566296,0.03840283503798179,0.03835020438237926,0.039914504423898996,0.0411045420255785,0.042543113278714406,0.05128857388466869,0.06902510482272241,0.07824131740378824,0.08146055917147653,0.07156891984351152,0.06492868546165857,0.06966252054057531,0.06318017812552996,0.06849295041607457,0.14421676812687498,0.10335198797681912,0.3066086559884914,0.28547452383876304,0.19447319637667176,0.38965398267866647,0.026487839394630504,0.05131781313778121,166090,2.0454392197001625,21709.29064,Genova,0.9492361059,0.006663625784342965,8071.015278,Arenzano,"11,416",24.30,C,D4,P5,T4,S5
4,39,246,197,10,3,210,44.403391,8.684478,LIGURIA,193816,0.470368803401164,0.5296311965988361,0.3678076113427168,0.45996202583894,0.03517253477525075,0.03624055805506254,0.037484005448466584,0.03837144508193338,0.039140215462087756,0.03962005200809015,0.040197919676394106,0.04848412927725265,0.06758471952779957,0.07825463326041193,0.08080860197300532,0.0710467660048706,0.06563441614727371,0.07181037685227226,0.06554670409047757,0.07165043133693813,0.14812502579766376,0.10571366657035539,0.3120382218186321,0.2818033598877286,0.19687229124530484,0.38521587485037356,0.024549056837412805,0.05153857266685929,93736,2.0555709652641463,22657.00105,Genova,0.2974941769,0.005856069674330292,7324.050116,Arenzano,"11,416",24.30,C,D4,P5,T4,S5
5,41,245,42,2,2,46,44.38353,9.16586,LIGURIA,85460,0.4720454013573602,0.5279545986426398,0.37994383337233795,0.44732038380528905,0.039655979405569856,0.03640299555347531,0.038579452375380296,0.038743271706061316,0.039971916686168965,0.04096653405101802,0.04108354785864732,0.04919260472735783,0.06690849520243389,0.07728761993915283,0.08316171308214369,0.07341446290662298,0.06895623683594664,0.07258366487245495,0.06453311490755909,0.06684998829861924,0.14136438099695764,0.12532178797098056,0.3339808097355488,0.2598174584600983,0.17666744675871754,0.39740229347062955,0.024292066463842733,0.05468055230517201,41488,2.0433378326263014,22450.01299,Genova,3.501186826,0.008027147203369998,5654.976263,Avegno,"2,508",10.93,C,D2,P5,T2,S3
6,41,245,22,2,2,26,44.3912799,9.16565,LIGURIA,67890,0.4735159817351598,0.5264840182648401,0.3816467815584033,0.44812196199734866,0.0391221092944469,0.037192517307409044,0.039181028133745764,0.039092649874797464,0.040271026660774784,0.04141994402710267,0.0410958904109589,0.04991898659596406,0.06749153041685078,0.07820002945941965,0.08363529238474002,0.07414935925762263,0.06818382677861246,0.07202828104286346,0.06367653557224923,0.06554720871998822,0.13891589335690088,0.12063632346442775,0.3338488731771984,0.2631315363087347,0.17706584180291648,0.3997201355133304,0.024362940050081012,0.05439681838267786,32687,2.059075473429804,22154.12815,Genova,4.20206045,0.008616880247459125,5640.958791,Avegno,"2,508",10.93,C,D2,P5,T2,S3
7,41,245,3,1,0,4,44.445361,9.090496,LIGURIA,10780,0.5003710575139146,0.49962894248608536,0.38181818181818183,0.4394248608534323,0.039981447124304265,0.03877551020408163,0.03840445269016698,0.04146567717996289,0.03562152133580705,0.03562152133580705,0.04220779220779221,0.05204081632653061,0.0774582560296846,0.08506493506493507,0.0839517625231911,0.07300556586270872,0.06382189239332096,0.07012987012987013,0.06669758812615956,0.06474953617810761,0.13098330241187384,0.05166975881261596,0.2711502782931354,0.3325602968460111,0.23460111317254173,0.39313543599257883,0.0212430426716141,0.03970315398886828,5513,1.9461273353890804,16926.1756,Genova,7.884591675,0.0047309833024118736,5367.308167,Bargagli,"2,659",16.28,P,D1,P2,T4,S3
8,41,245,34,1,1,36,44.3789311,9.0719562,LIGURIA,120703,0.46365873259156776,0.5363412674084322,0.3719211618601029,0.4513723768257624,0.03954334192190749,0.03667680173649371,0.03902139963381192,0.03975874667572471,0.03891369725690331,0.03749699676064389,0.038242628600780426,0.04497816955668045,0.06547476036221138,0.07618700446550625,0.0834776269023968,0.0710504295667879,0.06575644350181852,0.07022194974441398,0.06660977771886366,0.07257483243995592,0.1535587350770072,0.1846847220035956,0.34155737637009853,0.22789822953861957,0.14790021789019328,0.3998243622776567,0.021142805066982594,0.05960083842158024,59489,2.0123216056749986,25958.26762,Genova,0.3140721583,0.008218519837949348,5518.718557,Bogliasco,"4,522",4.42,C,D4,P3,T5,S4
9,41,245,32,1,1,34,44.38122,9.06828,LIGURIA,121320,0.46322123310253877,0.5367787668974613,0.37223870755028027,0.4509891196834817,0.039573030003297066,0.036630398944939004,0.03899604352126607,0.03981206726013848,0.03887240356083086,0.03759479063633366,0.03826244642268381,0.045120342894823605,0.06543850972634356,0.07615397296406198,0.08326739202110121,0.07101879327398615,0.06562809099901087,0.07007912957467853,0.06651829871414441,0.07248598747115068,0.1541213320145071,0.1857649192218925,0.34218595450049455,0.2272584899439499,0.14705736894164192,0.3997115067589845,0.02115067589845038,0.059882954170788,59770,2.0118955997992303,25964.18051,Genova,0.4977048803,0.008811407847016155,5515.045902,Bogliasco,"4,522",4.42,C,D4,P3,T5,S4
